row_id,customer_id,movement_date,movement_type,mrr_movement_usd
1731,cus_4f5a71f4-3cfb-11e8-b586-934261bc42b1,2019-04-11,churn,-86.5368
349,cus_4eed342a-fa51-11e5-8a44-a3818de58ece,2016-11-10,churn,-140.66707042109638
497,cus_dccbd792-9d09-11e5-aec2-9312d5786905,2017-04-12,churn,-68.544
499,cus_400e4bbe-a58e-11e5-a3c8-2b51021d8285,2017-04-13,churn,-76.188145594052344
680,cus_5d8219b0-5586-11e7-a28e-4b7a07d8f8f5,2017-09-10,churn,-75.707476913911222
1360,cus_0e80cb66-3cb4-11e8-be9d-932d54e665a1,2018-10-01,churn,-78.961754360441816
630,cus_9727bf34-3714-11e7-a584-d30d84e5e198,2017-08-01,churn,-71.982763465199866
1440,cus_0fa0cde2-28ec-11e8-abba-f7067b58920f,2018-11-13,churn,-78.08235210927613
1515,cus_d51d6764-e32d-11e8-b3fe-afda37c0d0fa,2018-12-26,churn,-76.8978
129,cus_92bbbf36-9d0a-11e5-925c-a70a5743e750,2015-10-24,churn,0.0
1451,cus_d84ce53c-190c-11e7-962e-332563da0c0f,2018-11-19,churn,-92.029700597069208
1512,cus_567011ca-bfef-11e8-a7e1-fb05e2573b51,2018-12-24,churn,-70.225446814362726
220,cus_cd922fa6-9d09-11e5-bd03-bbe428971f55,2016-03-23,churn,-25.559907554754524
760,cus_a2ed9410-6c7a-11e7-a846-7b0208dd06f7,2017-10-27,churn,-106.8858
235,cus_e7669e78-fcec-11e6-b4c7-638fef4a0a0a,2016-04-30,churn,-192.78
295,cus_205d8606-3920-11e6-a720-53df63d658b5,2016-08-23,churn,-47.9808
1448,cus_b54f2cfa-9c18-11e6-a36a-db183cd881ab,2018-11-15,churn,-139.0158
689,cus_4ce2a826-e4c0-11e7-8010-b7d01d02a209,2017-09-16,churn,-139.0158
538,cus_60dbbf18-e799-11e6-b8d9-1b27428f1612,2017-05-23,churn,-40.0554
687,cus_55d74822-7a83-11e6-92fb-dbae0f47ccbd,2017-09-14,churn,-137.72838993513054
125,cus_5a599082-9d0a-11e5-bede-6f982c8f1918,2015-10-21,churn,-249.96942484159266
1872,cus_2e9a8070-20d1-11e9-b4c2-f348ad9364ca,2019-06-27,churn,-171.1458
881,cus_9c39feca-9d09-11e5-bbf3-3f0622def2f3,2018-01-01,churn,-236.73495852533205
1808,cus_5f04272a-6b1e-11e8-bee9-430472eda36e,2019-05-19,churn,-72.87301165948584
1564,cus_107cf55c-e826-11e8-b794-1fedcf5ae890,2019-01-28,churn,-235.4058
1932,cus_3ebc8c86-2578-11e9-afce-5fa70263a3d7,2019-07-30,churn,-195.5646
162,cus_7d5895b0-9d0a-11e5-9c9f-93db6cedde11,2015-12-02,churn,-10.495800000000001
836,cus_774f9200-218e-11e6-a996-f3fdc760b60f,2017-12-01,churn,-64.474027983293354
1805,cus_8f544bd8-38e9-11e8-a437-5b8b83c5a7a8,2019-05-16,churn,-118.57467460815511
1558,cus_4b3aeafc-c89e-11e8-a51e-5f58434d2bb7,2019-01-24,churn,-322.91832045122209
947,cus_9f6ec0dc-8c5d-11e6-a86a-f3c7f3aa86f4,2018-02-11,churn,-85.68
254,cus_a3751f94-9d09-11e5-bd42-373f3e003552,2016-06-06,churn,-107.1
1798,cus_73743d8c-b6ad-11e8-af07-2b33242348c0,2019-05-13,churn,-87.007555956850254
1724,cus_50730d4e-a33d-11e5-805e-cfd7b27b7877,2019-04-06,churn,-48.195
1857,cus_fd77711c-b1ca-11e8-a2a0-e368e9a2ae27,2019-06-20,churn,-74.368091035764053
1209,cus_224cb366-837e-11e7-9cea-a3ab4736b293,2018-07-15,churn,-235.4058
102,cus_7e4f9482-9d0a-11e5-bc1e-db319fa0022b,2015-09-18,churn,-107.1
1004,cus_05e30b3e-96e9-11e7-bc15-d3ebdd347b69,2018-03-22,churn,-104.74380000000001
1001,cus_6c988d90-f9f4-11e7-a733-23e285f4189e,2018-03-22,churn,-76.867258761401814
955,cus_8b2edf1c-4611-11e7-8d12-f3bcac9f6a4c,2018-02-17,churn,-75.666690295597931
413,cus_b0d90628-e87b-11e6-93ea-cf96f1257ee0,2017-02-01,churn,-171.92641940356228
997,cus_595b0fe6-d90b-11e7-b1eb-db3b575900e0,2018-03-21,churn,-76.61843319951052
1141,cus_1f6a0f14-2d1e-11e8-911a-bf44fd197a25,2018-06-05,churn,-78.961754360441816
372,cus_792ef76a-013f-11e6-8f04-077b1dbe861f,2016-12-13,churn,-131.64715170754715
1146,cus_e31a7ed4-b56f-11e7-a783-27e419645b87,2018-06-07,churn,-204.61628476243922
1216,cus_e280c51a-db9d-11e7-8c65-f321e6a59b82,2018-07-18,churn,-138.8016
1281,cus_b3d95850-67ce-11e7-b6ad-5bc812214945,2018-08-25,churn,-85.4658
1013,cus_f6150a24-99c1-11e6-bccd-df541d917734,2018-03-27,churn,-33.727912311393645
1358,cus_2ebe3dde-792b-11e7-aad5-b7ae3600151c,2018-09-30,churn,-171.1458
1213,cus_976bf016-d965-11e7-843a-2363dd12bc89,2018-07-17,churn,-295.38622179548724
879,cus_22c94870-3ba0-11e7-922e-bbd1373a6a8a,2017-12-31,churn,-69.845718629254677
385,cus_9c69d826-e9f7-11e5-8d9c-5bf09d13142d,2016-12-30,churn,-39.806177181856924
1061,cus_aa40461a-1e8f-11e7-bd61-f7b7e15b86f2,2018-04-25,churn,-111.1698
1062,cus_552462bc-4e72-11e6-8610-2f4a86374343,2018-04-25,churn,-85.4658
1063,cus_b570009a-2694-11e7-b0a7-cb735a0bd7ca,2018-04-25,churn,-68.526895686836568
1331,cus_3201b4b4-4bbb-11e7-b3c0-272eb0856f8c,2018-09-21,churn,-321.0858
1059,cus_ee0d7ce0-109e-11e7-8ea4-5fb6a84d5d99,2018-04-24,churn,-71.3959804938518
1060,cus_7074b258-c3fb-11e5-a251-7b38119988b6,2018-04-24,churn,-125.40368335558244
1201,cus_a2d9c8e0-0a6d-11e8-bf42-132cf9e7b1f9,2018-07-07,churn,-77.4524571382686
1346,cus_a537eb00-3d26-11e6-8be9-1fc4d4eda653,2018-09-27,churn,-85.4658
806,cus_a9544b4c-52a2-11e7-afb8-d32e91fc0d62,2017-11-20,churn,-144.585
1077,cus_c34861f6-5ec8-11e6-9af9-1bd0a48d0bb9,2018-04-29,churn,-52.587203429777112
1078,cus_2b29f626-94ca-11e7-8970-9fe234584baa,2018-04-29,churn,-117.5958
811,cus_2971019e-9d0a-11e5-b08c-5f2f9edd58df,2017-11-21,churn,-74.97
1340,cus_5ba15c06-daf2-11e5-a96f-2b8a70ed5e3f,2018-09-24,churn,-62.701841677791222
1918,cus_85ef4a0a-126b-11e9-9616-d7a92f8028b3,2019-07-28,churn,-211.75790294335425
529,cus_9b0b75fc-9cee-11e6-98b3-879ac777158a,2017-05-10,churn,-51.915322827436107
494,cus_cbf62f18-4348-11e6-84eb-6792a30e4a68,2017-04-07,churn,-49.468710853851334
673,cus_92d35502-f731-11e5-ab9b-a70a7bea8fe7,2017-09-01,churn,-124.39430369330289
1856,cus_7bdfcfbc-9ca1-11e7-8bf4-6b10edc3649e,2019-06-19,churn,-99.501057148106824
1426,cus_d1325370-3ed0-11e6-aca2-bbbeb0afdd6c,2018-11-01,churn,-76.105709005925135
1899,cus_a3a646c0-4472-11e7-afd5-f78eb557672c,2019-07-23,churn,-213.9858
1914,cus_9b45727e-d6ae-11e8-9823-6f0f4b68f684,2019-07-23,churn,-98.179102190899329
1879,cus_86514cca-6649-11e7-ab98-b734315d526d,2019-07-24,churn,-51.408
1851,cus_0a208c5e-d1a0-11e5-9070-07d52a948a21,2019-06-16,churn,-250.80736671116489
1850,cus_8aa7dc50-8f77-11e8-b5df-d3f007a32b2f,2019-06-15,churn,-385.1316
1623,cus_8ac35576-8833-11e7-94ed-372c3951b46f,2019-02-25,churn,-13.858085953775324
1789,cus_796e9416-a1ee-11e5-9113-e7830338c103,2019-05-07,churn,-50.791729721603467
1544,cus_457c3a16-2ddb-11e8-ab04-0b0e556f0bb4,2019-01-15,churn,-184.5962083543439
584,cus_446112ee-facb-11e6-808b-c3a8fe573e68,2017-06-28,churn,-213.9858
577,cus_a9544b4c-52a2-11e7-afb8-d32e91fc0d62,2017-06-26,churn,-144.585
1842,cus_5d95956e-6fff-11e8-990c-3f1f84f026e9,2019-06-11,churn,-236.4768
1785,cus_6bc05a4a-e294-11e8-b069-7f1f8125492f,2019-05-04,churn,-130.63251437532671
1838,cus_b7c78cc6-fed0-11e8-9203-47b726cf51ec,2019-06-10,churn,-122.82787563433111
1776,cus_7fffaf76-c461-11e7-9962-970460769cf8,2019-05-01,churn,-178.78347881118128
1779,cus_91926cbc-614f-11e7-9b1e-8f8faaf3c325,2019-05-01,churn,-39.63244422535675
1782,cus_5651e0c0-f3ec-11e8-af7b-dfec97ea90c1,2019-05-02,churn,-85.4658
1491,cus_62287dca-901c-11e8-a166-af83161747f3,2018-12-08,churn,-112.41991572229269
531,cus_e878b85a-5e04-11e6-9780-2b1fc9e74232,2017-05-15,churn,-84.811480550061177
571,cus_1c77f484-3ea9-11e6-b4eb-739e5c803ccb,2017-06-23,churn,-49.398019293939257
575,cus_df3b70a6-41bd-11e6-8b2f-e7d02dd4de68,2017-06-25,churn,-85.4658
256,cus_7e4f9482-9d0a-11e5-bc1e-db319fa0022b,2016-06-10,churn,-107.1
720,cus_1b7310a2-1a0c-11e7-82e4-cfc1793f2fed,2017-10-01,churn,-226.16716342190375
721,cus_019497c4-8613-11e6-a286-c3b33599ff07,2017-10-01,churn,-62.5464
1311,cus_c551dc6a-a937-11e7-9aa5-0b7a684b7d98,2018-09-10,churn,-235.4058
1032,cus_45f23dde-d5e2-11e7-b53e-3f1af682a710,2018-04-11,churn,-46.034318462900508
143,cus_92c1e82a-9d0a-11e5-93ad-cf812100e716,2015-11-06,churn,-128.3058
380,cus_8264d816-9d0a-11e5-9340-7f1fcf394df5,2016-12-25,churn,-30.138497087514789
1952,cus_18a718ac-2494-11e9-89b0-f316c3569409,2019-08-29,churn,-218.2782563724997
1040,cus_5443cb9a-6360-11e7-9e70-b7d5a1432c79,2018-04-14,churn,-144.3708
1956,cus_4917d298-46a0-11e7-8840-63a284eff87f,2019-08-28,churn,-171.1458
1965,cus_16e426f2-d3e2-11e8-ab16-3f8275b6e945,2019-08-28,churn,-89.243785251723423
941,cus_cd4da3e0-c52a-11e7-a449-d75ea13edec5,2018-02-06,churn,-174.45984444638643
1240,cus_f1dce814-e70e-11e7-8723-236ec9ce489c,2018-08-01,churn,-81.502030363983621
1536,cus_78a7e5ca-9f21-11e5-ad5a-27cbd0718396,2019-01-07,churn,-739.13051979877162
1538,cus_834db8f0-fbaa-11e7-afad-c3406499d12e,2019-01-07,churn,-79.5272012039755
1968,5,2019-08-20,churn,-205.4178
609,cus_6e3bd812-9fda-11e5-9427-230f583604e0,2017-07-20,churn,-88.054272453445861
1683,cus_a64e6bc6-5270-11e7-a29c-4be9b15f2485,2019-03-26,churn,-64.519667587537
1684,cus_92c03228-b1ca-11e8-a4ba-ebb46eefc97d,2019-03-26,churn,-74.32838938792564
1877,cus_250dce86-2241-11e6-81d7-ff01b06ed49c,2019-08-16,churn,-78.376128577831835
1883,cus_fda4b584-e9d6-11e8-929c-47ed5a1de411,2019-06-03,churn,-106.8858
559,cus_eacb3a2a-b259-11e6-926c-7f2cdcc8c2c1,2017-06-14,churn,-54.102317028969487
216,cus_a3abc732-9f58-11e5-9097-cf0618169569,2016-03-18,churn,-125.57707119797828
1971,31,2019-08-25,churn,-334.152
